,kSOCSon,k_d4,delR,meanR,krec_a1,krec_a2,krec_b1,krec_b2,gamma
100,1.3573502076623966e-05,0.009648960623361057,848.0275153252794,934.7276519759862,0.03352683704500905,0.24138952335080766,0.05388815422033175,0.11681882224382545,4.911911776212599
115,3.154075888385461e-05,0.00617805672058225,237.09736683523042,498.91047832579767,0.05390977703977225,0.20062373607772532,0.059425794148990664,0.13209978324612834,11.345914263362658
130,1.996356011911108e-05,0.013965217338904393,597.0546348089931,736.4479192273709,0.04041573794652114,0.17425661241190735,0.05453967728020718,0.07599501017258367,6.955873702676654
145,5.472179855792165e-05,0.008896797881251741,-271.0141338267496,560.0974299574495,0.026870685363739228,0.1705536079214857,0.07267695146104687,0.09328542235082236,13.540145131211984
160,0.0003993525889520749,0.030851419374010768,-180.40593187755562,207.93846813766598,0.05162510934222063,0.13056677731023728,0.09882692396578316,0.12593308325347888,76.49200032127335
175,0.0004412103760548202,0.007868526929376419,-179.83633407357263,345.91373694921316,0.06804678605255841,0.10015605043440907,0.0331437555780463,0.15436746378689864,30.529608370252863
190,0.0010422485404132824,0.014879284987490147,-257.487073201222,252.0886050872289,0.06291422279299479,0.0983363239720676,0.02131953210567994,0.22851807272754396,66.96130330472101
205,0.0005778873150020051,0.02710677379935161,336.0339485312745,316.82409458956687,0.07571509043805062,0.10947484476236928,0.03021960393995748,0.20627894890437654,28.447872932019585
220,0.0002188420387764848,0.0018071105023106434,-411.72903410085365,445.2875857735914,0.07354820097162514,0.11016835785346686,0.04231788098827529,0.22077853831711355,26.410338013201965
235,0.0006299279339160813,0.004083568793929599,107.44860295261554,395.0267649923496,0.08539900302645577,0.1810637908413986,0.06775094177392818,0.24569291466819435,19.365830826475662
250,0.0003248529200879896,0.029836276422591457,373.3289783917266,399.534367347248,0.06729932808957255,0.1252839364388958,0.08486853648121583,0.28210420207738857,20.247187152279395
265,0.0005059192450450655,0.01528911711876019,47.13423071643859,243.3254516097334,0.059593579915454324,0.16789511189871273,0.061954951515285114,0.22455634879967604,37.91322653925979
280,0.00014477749318857991,0.06873200861548039,52.64504774297541,177.01817428484418,0.06774330144946114,0.17726915978169136,0.04955034761928539,0.24878320869215345,70.19336571556718
295,9.170653246684612e-05,0.006335784933473483,275.2638927746077,586.1529023709319,0.041080051435239,0.16012693204776926,0.05367854717602583,0.28865485423054504,10.69117405844117
310,0.00015851332849577254,0.006452184444903329,-167.4437619142795,245.36780862876597,0.0775589333435239,0.07933727116073899,0.08505504773422355,0.3736618239617182,45.004028754767276
325,0.00011774912376053458,0.0242018463542923,-129.02229400431042,334.4939264564453,0.06359005243001804,0.058092077613917,0.07962840017662713,0.4572314224009462,28.49380916381805
340,0.00010305756442807039,0.013145946550664455,-331.1222323868216,331.98090224188286,0.06511500611246537,0.08292776159665148,0.06134844251073127,0.3660428746852186,36.951412140418384
355,5.981423911271061e-05,0.014540820478190362,34.90162932617715,260.39467364976747,0.05281688321046407,0.05123127863408305,0.06297292445439168,0.2703555516665516,29.194775137629538
370,8.235923140100548e-05,0.004067907273436295,406.0832230127373,564.2933339544993,0.04836566844122462,0.029958954635635738,0.03876960164134245,0.1498064696059416,10.7066164449062
385,0.00011828219833603469,0.004576206173772677,875.2812836588705,755.2890708545093,0.05189993666392083,0.015046922675559397,0.02027235266396873,0.11856687467310285,7.866706249124872
400,0.00014907317077071018,0.015385447275740597,-87.02840353366733,351.2344839815649,0.05216721172495839,0.01757428644119606,0.027056937173219317,0.1179842791188403,25.419165491820603
415,0.00016655247865419342,0.007483513691272289,85.33416211021395,397.15095102950346,0.047450929236529736,0.03860370108088737,0.037318630768960095,0.12201798729212968,18.75254569268553
430,0.00022934509771008053,0.005236282874571834,-129.07308774509877,437.8767360073565,0.02292729671190111,0.022097919989991853,0.011758787649952366,0.20802780364639414,19.71389134384031
445,0.00025084252797833475,0.008713091219177047,-171.51001455812133,274.98378067280646,0.02958767257884555,0.016531928334693524,0.01602499978114115,0.13071961202614266,40.93110373095421
460,0.00010605846467340809,0.03032787053910205,-177.64315573260842,255.3907910551076,0.026541412231461208,0.016723822329387232,0.0095459097799848,0.181400281979346,45.65461810250282
475,6.147685582153722e-05,0.020141263052800843,366.2353129423847,503.89717335257666,0.022306149177881342,0.017102905321176698,0.008090058347108728,0.1362045425705723,12.956683299568152
490,0.00020603473147417175,0.011639458318140995,-314.7529739863487,288.07581602080836,0.03404867078858656,0.008096098259751203,0.005209967747546886,0.14552786832303888,51.98987223405686
601,0.001226012998509693,0.011246223866050634,-189.76278579982207,215.1092962614423,0.1736336660649875,1.8237584263762885,0.06800391973791987,0.21128930267896665,72.38630436341116
616,0.0013173513731638256,0.03736157220223674,170.68706095511342,333.3144720638677,0.11253507291741033,2.1891791422549374,0.046517586786338,0.17944214452269125,27.110222663775982
631,0.0007438103990684006,0.06869630692092572,33.42926040453024,144.51949866473998,0.04297251081710279,3.5613361087201314,0.07840503990206027,0.3160191430829022,104.32625884802592
646,0.00036247283104380926,0.017680558766952608,63.985766997339105,421.55122162908316,0.0652236059861508,2.87865946065,0.06008365366472573,0.465657755633196,19.142021399137885
661,0.0008588072332674742,0.00527216121549503,77.44315770228191,392.89941769101836,0.03982425685776195,1.8436739770144328,0.0442088766292163,0.35033480377782417,20.13056271916412
676,0.00046696270009281555,0.015675188861241224,-30.468242427389878,232.42977117701832,0.027168825082268803,2.9357195241398006,0.06398933907810428,0.5889194108652431,43.982299776275845
691,0.0006424831831566356,0.0065650153989645545,163.32325022415804,286.2626850372808,0.02486467900186844,3.5957323823402425,0.09322335576774474,0.5713289294519284,27.11638474237617
706,0.0002511185419965131,0.01126091947292991,-101.8080700249038,294.4442116690061,0.0330187786388757,2.5527526209557,0.09604238566411284,0.8425907156299925,33.576207365206066
721,0.0002505424892715165,0.008160221358090856,-92.40710030020935,253.81718701616688,0.023413771764211527,2.370552925374128,0.09315776117447913,0.9617108009357592,39.643946639727396
736,7.18078691265566e-05,0.01087725290983413,78.41747015784402,436.13288549325625,0.01869754109760716,2.119124945686675,0.06619410911459084,0.621944083701246,15.892155527002174
751,6.093217068684425e-05,0.0025552990212140084,71.00333853761492,281.500986807322,0.01875946152044573,2.676048451385624,0.09850035921422867,0.7035492184653255,23.408484121778308
766,3.8812936040902585e-05,0.0001228749018421948,256.0106959116834,410.61385231180606,0.010623909352737446,2.2760869937305306,0.0693632098549467,0.8148912490418336,13.491554502483108
781,2.664939950688588e-05,0.0026563332447869835,37.74685648176546,496.0582488573788,0.02075796931958011,1.939781198113076,0.022332106053300382,0.5775434210139057,11.550729461666625
796,1.9663510746230724e-05,0.03018161684044294,1030.4999258246114,1061.6276879849852,0.02274658481104836,3.500860099924304,0.010574113080313051,0.6411543968350765,4.699359489791158
811,2.806048809858368e-05,0.008756450899588958,421.4499114637325,397.63365640918886,0.027151895412684927,3.1079817077595795,0.011232420439463492,0.4647161733132098,14.824548472421725
826,2.6270532446286582e-05,0.00016765264216480615,460.7660581549728,749.6213804458164,0.0406135791436574,3.462002417592461,0.012751854017624487,0.36400339122828257,6.709514002567344
841,5.670424986599534e-05,0.0004825322498791205,-64.0911748144699,432.7718139460099,0.03251118174438132,3.58324880017622,0.00928740928784368,0.2557191445415403,16.077676755193696
856,6.0332277214621054e-05,0.0007902706762128322,297.0666596446357,629.8413498858674,0.03095115741329024,3.5610051046640803,0.007875304829941775,0.23213884592824935,9.237533270763016
871,8.487210235846667e-05,0.0007413155054861099,149.7743814431862,434.9754448334685,0.07063426879380781,4.789835618792758,0.004796925025380457,0.593365494398182,14.881018900220484
886,0.00012518151910053418,0.001349485322309447,455.4648171267082,494.9076378143536,0.064318681926992,4.7244273731378135,0.0033486722946737013,0.659767655515761,12.422355535469244
901,0.00018695771127541592,0.055161177606954236,256.48541949125723,376.2299160626313,0.031183207993045917,3.334641534507819,0.004168046967112449,0.6300476199814449,23.09334871371225
916,0.0003385444915982552,0.012916890743358715,-10.02833995369667,221.35795495195526,0.016717409894220905,3.698382182146106,0.008502120913580187,0.411522373288979,43.85835134801557
931,0.0002735401233212922,0.008702387035650709,317.54445746224496,394.38242982570466,0.016393788383849646,4.450794476662494,0.009652780243006316,0.22443126613710296,17.927422311124392
946,8.61119239580055e-05,0.014105715926585919,-155.8446790544579,299.66247211065416,0.0136114478438087,2.7622186679533454,0.009256773676179868,0.3122488627890589,31.574076262508655
961,0.00012479877899277086,0.055273824754716205,-131.27351224932,244.44946032314687,0.012319665597649562,3.1728068848388085,0.007246485675193926,0.2217829371607362,49.857780186629284
976,5.4671717614248886e-05,0.03354632564734291,534.2033109900585,385.4574630174628,0.016782075195879015,2.8857588291862584,0.012650411568327163,0.2368094712077083,23.69260244883289
991,3.729314102641643e-05,0.014364074194219163,333.4946575432265,442.6789829815146,0.014975919289785753,4.510174010241582,0.023084294146931757,0.217532420722577,13.904906329638338
1102,0.010823788631167985,0.037777134407422586,165.47878017217138,332.634452814406,0.18114346546704105,2.9946926780442373,0.057027978832103386,0.8838611110769623,27.45808391235486
1117,0.015302643935455438,0.006167123768057295,337.79326381960993,503.21774906873594,0.23738302293132976,2.003019145887352,0.05241944724442715,0.8107568350422278,13.78651098404102
1132,0.05195702146252937,0.00961532510863246,-180.3236095225709,259.963112777333,0.1984254270832003,3.3856161400975977,0.040710149017240176,0.7377080978577351,51.796507236514074
1147,0.05592028415448376,0.03464740759396098,148.9812029459228,284.0637585933552,0.2430130284157936,2.794530544098428,0.030695159839929775,0.932963448004278,33.720258957924926
1162,0.06817667783597564,0.02640880544509175,197.17247949401397,447.7640195731784,0.1977651762894323,3.886048075924943,0.03237963266506319,0.8495243278323409,17.815459737967807
1177,0.046239900441797335,0.02338578100179985,488.6346852416768,573.2722333998279,0.14409326103407746,4.481247755173223,0.045387314183461466,0.6287130029926912,12.38886884918334
1192,0.027929104162704957,0.016404460042150664,-59.21655131987024,141.77970711886022,0.11347525761710665,2.8116526505506116,0.021465535375888804,0.5081338093689551,98.64495115559194
1207,0.021988139832861662,0.03940051925119365,295.6337665852202,272.6627971024414,0.13056143170349466,2.809938485605994,0.017264202598187343,0.7175208092907495,38.912301051599385
1222,0.05899604027838301,0.033711383487466724,33.90224436679193,284.3665215713749,0.0903265999148502,4.456240450082218,0.03581583503229326,0.7182670469615671,35.700723266317155
1237,0.06884254414566399,0.020242326865660763,137.1264048517925,446.5983082040397,0.12389666386840548,3.1994756828849336,0.018847091595114215,0.8843194995416556,17.918384438463953
1252,0.06366669615440365,0.018359406624968242,678.326264781838,482.9253247770307,0.23390262938625445,2.745722040728578,0.024686433887205376,0.6709227680703679,17.128120894694767
1267,0.024899969259523504,0.004398594913218824,249.43193010068347,271.05604642238325,0.16863639673451614,1.9215720392510172,0.024206036875216618,0.8314097117346171,27.881493610809684
1282,0.0029260469417386227,0.003257304197356964,380.3688256645768,565.1966961312555,0.16377138661592,1.0096222646804194,0.032612814966977065,0.5084133997435161,11.738664224904564
1297,0.0038946471817467494,0.021007192684745227,423.8684210043982,344.38675989364134,0.16162950855686226,1.67528598029121,0.052628421534534175,0.526509178498436,25.735819853293943
1312,0.0027973577799408665,0.008515555286714488,38.71470587250397,296.2853969863754,0.15283513699470486,1.826370113597612,0.043730329844132325,0.4301154594292065,29.807446107040104
1327,0.001010693724982439,0.02702839379053889,-213.06961507822632,248.46583814327184,0.2383322686534076,1.4451347013622076,0.08510416868124702,0.6617026065391192,62.59141985114668
1342,0.0005119443853039077,0.01723076468124991,-68.63650816559743,376.1942767695525,0.2573994561893458,1.3867457347157033,0.0953847534141054,0.5497750820101011,24.66568082395771
1357,0.00026667408523503507,0.01302841156366181,154.65060769769542,256.4074248108939,0.18081300211692733,1.6269895636212242,0.09610259030523102,0.6927129328375712,31.914888753145682
1372,0.00015495615396023116,0.018119544839580497,-190.32753752217616,264.2914096992447,0.2933815657078649,2.502487175086696,0.04962323348774497,0.9111976969167292,44.57817219361907
1387,0.00010499811801753376,0.03302373810158171,-135.53291780382995,516.5509055760009,0.19341685818068288,1.2313606587178467,0.0623364652601117,0.7890146066671128,15.700145124621972
1402,0.0001729514576389442,0.022474504893583682,-394.5027261394323,305.6060326519285,0.2806789482210246,0.9749943832233448,0.050547401969816816,0.3976413570702526,58.364020487257044
1417,0.00011237901267250315,0.0036806474766673852,-0.6229259829163709,249.99261722369656,0.2466067239348344,0.6861009318172065,0.05051909382905719,0.2619290123060429,31.380679876195327
1432,0.00013833902987094658,0.0046721816489346145,-322.7693746219586,395.70399008892167,0.21497006993160586,0.4906030049775588,0.07010774564538183,0.2257732913190473,27.289068539739503
1447,0.00011088292494757906,0.000689431730698028,-63.13786057727845,421.15888012536965,0.2547891247553297,0.3773936830303332,0.0451915358688576,0.22651626660136104,18.158816922140538
1462,3.5451936025416745e-05,0.0010735396512263887,222.62762675628838,563.3328288596265,0.15119648496103566,0.6754031802357462,0.048349551623694,0.4252572017099318,9.918597360045297
1477,2.3007670407185625e-05,0.02407399513201544,-96.0140313150099,572.3347847209733,0.1322247786698044,0.584817912454604,0.04963737547647845,0.3271493762343792,10.63184783016773
1492,3.7897305748978266e-05,0.013505608152255363,373.89735448015296,407.27230324122894,0.13806461002814654,1.1277512232291425,0.07406849980608604,0.2436848379807685,15.481870927548867
